Investor Name,Investory Type,Investor Country,Investor Date Added,Investor Last Updated,Commitment Asset Class,Commitment Amount,Commitment Currency
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Equity,68000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Equity,16000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Natural Resources,29000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Infrastructure,26000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Infrastructure,8000000,GBP
Ioo Gryffindor fund,fund manager,Singapore,2000-07-06,2024-02-21,Hedge Funds,45000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Infrastructure,63000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Hedge Funds,44000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Natural Resources,20000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Hedge Funds,84000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Private Debt,55000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Private Equity,68000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Private Debt,20000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Private Debt,57000000,GBP
Ibx Skywalker ltd,asset manager,United States,1997-07-21,2024-02-21,Real Estate,37000000,GBP
Mjd Jedi fund,bank,China,2010-06-08,2024-02-21,Natural Resources,13000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Real Estate,37000000,GBP
Cza Weasley fund,wealth manager,United Kingdom,2002-05-29,2024-02-21,Private Equity,34000000,GBP
